,,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
0,100,31990821,83089,106982333,195951694,686541,3125720,2753,6535931,3250717,5566201,924296,25668,25432789,29196270,8,0,19416361,291445847
0,200,33480277,48251,117388833,189170162,170595,2174248,2563,4933062,2737071,4509943,947,14106,15048563,17406965,0,0,21194329,425470872
0,300,27764728,41143,104981650,180774589,176900,2364666,2888,5935541,3285745,5439486,911,11067,15411507,16999132,0,0,17668316,353963319
0,400,33612726,50284,123188830,202831715,194301,2465839,3053,5494201,2879805,4618274,775,8041,14049477,17850119,0,0,23794816,425589516
0,500,29194417,43471,103315491,177909994,162590,2235814,1960,3400740,2769264,5804789,1152,11329,31745062,35933484,90,0,21233362,383857142
0,600,34445258,51393,124042043,208478369,193100,2396508,2456,5468843,3271343,4625555,631,8363,26816153,26961681,36,9,20860837,414416893
0,700,29104816,42474,104345963,176115786,164352,2043272,2110,4998119,3130094,5032253,1096,13565,33010431,23792285,80,0,21216096,379594343
0,800,34466440,51797,63756682,131546463,120947,2160208,3218,6639422,3397492,5283950,1004,10644,27778264,15965145,123,0,22232795,407120757
0,900,31680961,44947,98384403,167459155,151999,2117861,2880,5528936,2675516,4339779,1146,12363,31988587,24821313,51,0,20583415,430697970
0,1000,41317510,62790,128866804,279003412,371822,4087561,2977,8666657,4280601,7555368,944,16091,37706458,39611117,0,0,11007610,318772568
0,1100,51583439,75229,129713624,312286325,423778,4208061,2719,8264833,3784873,6745920,603,11420,43778145,54285109,0,0,13981559,362707600
0,1200,42931951,62837,112569481,288811836,412583,4451607,3170,9833666,4526933,8086030,644,13286,45198613,51883559,25,9,11566330,301759213
0,1300,51379553,75311,132594200,329073384,459234,4726598,3141,9180504,3940700,6770791,468,9582,37315620,45953266,0,0,13999570,362002010
0,1400,45927507,63401,110653583,274123700,383247,3984865,2847,8915339,4379296,8062215,551,12822,44172175,52123293,0,0,13417511,338965652
0,1500,48010652,73522,132622567,326465191,456856,4749535,3375,9826211,4521221,7746105,584,10254,36427789,42789807,0,0,12028586,325180318
0,1600,51429730,73291,124937937,303096598,408421,4069724,2739,8199409,3776171,7072698,653,14958,42906296,50166913,0,0,13857394,362101238
0,1700,42822159,63748,118382614,298990300,431205,4627130,3186,9784020,4524712,8100011,610,12882,41562469,46267423,0,0,11419713,301466597
0,1800,51314315,75436,132546712,328480890,458371,4568558,2916,8769448,3770526,6740222,545,10797,36756281,44463110,0,0,13776226,361036956
0,1900,43693897,62227,110435436,274256285,386552,4163618,2913,9168258,4527419,8056435,559,11502,42257542,48640885,0,0,12843015,323285383
0,2000,50116444,74363,132422266,326176916,456028,4735148,3172,9765800,4343297,7428990,642,10193,34957742,40042332,0,0,12699504,339155301
0,2100,50547351,70355,119294402,291984045,392827,3968815,2641,8153272,3955465,7387125,558,13912,41330082,47254654,0,0,13923016,361077637
0,2200,35035958,54735,122351043,256544727,309387,3428698,2849,6823382,4021856,6721722,821,14110,30398319,31898262,0,0,15960940,331783227
0,2300,40535215,61330,130866503,274260733,334770,3616184,2479,6154229,3108290,5697990,613,12945,29543760,34379514,0,0,19610604,401372105
0,2400,42656107,62157,109791095,274816357,400462,4276639,3005,9449155,4518858,8066511,511,10676,41078048,46262115,0,0,11950833,307438359
0,2500,50877321,74273,131731239,326844402,459138,4738715,3364,9429260,4149577,7073016,580,9397,34073442,38263113,0,0,13524237,353773123
0,2600,48217346,67012,112988348,279296371,383153,3959154,2723,8466718,4147688,7697829,579,12653,40467945,45522324,0,0,13797301,355283275
0,2700,45662671,69763,128391263,318263908,453734,4695710,3235,9758987,4516664,8076698,731,13588,35635802,37850589,0,0,11468921,305699191
0,2800,51117196,75211,130254276,313192682,423894,4242176,2681,8143213,3768937,6737214,606,10013,38095398,44196377,0,0,13732679,360152599
0,2900,42679428,62092,110796947,285669339,412339,4418731,3100,9708566,4511441,8077646,500,15303,40157046,43348405,0,0,11575083,300440950
0,3000,50777505,75326,131301512,326577010,457102,4738949,3037,9107772,3951608,6731361,473,10736,33345162,37985604,0,0,13859313,359724407
0,3100,45902719,63857,109389166,271922506,379979,3957098,2781,8766922,4313429,7999137,711,16316,39830213,43895882,0,0,13523276,338919145
0,3200,47255632,73475,130989368,322349547,451114,4718434,3146,9717181,4491703,7754394,564,10353,33413369,36530522,0,0,11794460,319845826
0,3300,51198627,73548,123742766,300995704,406827,4063332,2620,8122337,3755554,7033800,605,11518,39342227,43297918,0,0,13724891,360389852
1,100,38895241,91498,108444107,232764102,815661,3797892,2739,7574529,3712953,6155231,771271,26169,27551849,31936177,0,0,17165196,279214704
1,200,34721455,50137,101515263,181212216,173053,2031985,2500,4949866,2619112,4541770,821,13743,22903252,15702025,18,8,25380519,408171294
1,300,40221952,59186,110899707,263616033,355548,4100766,2958,8487238,4026188,7178329,764,13701,34170866,43250949,46,0,15342530,309320670
1,400,41290099,61993,131762219,267775006,318034,3735988,2998,6892749,3156346,4173768,487,7976,24194986,27975648,9,0,23182331,396137432
1,500,43335016,58988,110978767,253477989,339788,3598871,2566,7592960,4053577,7672216,749,15404,34218324,42121200,0,0,16085446,351493435
1,600,41938721,65304,132059020,290949210,363862,4197939,3016,8368178,4211682,7425311,797,11439,24838946,17973814,0,0,16201411,339572070
1,700,51236750,74539,125562135,301001481,395980,4108092,2522,7677837,3717615,7108127,610,15104,36005518,23406352,0,0,14042483,361787356
1,800,40044742,59391,116290113,276177175,375711,4140026,2732,8288856,4317618,7861297,655,13538,34659582,20097022,0,0,13177916,312388773
1,900,51532208,75636,131383483,324039130,439528,4542674,2787,8240964,3729247,6895008,495,10094,31465983,23406551,0,0,14038717,361793270
1,1000,43862626,62796,109366158,271561450,372391,4107164,2792,8643213,4468612,8247859,714,13402,36777601,24881464,0,0,12984039,323109594
1,1100,35340875,55232,129134419,230711442,237832,2824161,3045,6424685,2921833,3875801,639,14657,20207907,16709879,0,0,19815287,391874459
1,1200,35174609,49557,115588126,191312772,167502,2031144,2540,5097571,2331378,3098851,570,14758,26277766,32374495,0,0,20940961,414339900
1,1300,42756776,66696,121802203,304626663,432403,4730216,3070,9277199,4512729,8322122,640,12129,33409931,44613880,7,0,11496983,296278710
1,1400,51047655,75426,129857439,315979247,420186,4301858,2770,7926261,3771849,7002552,509,12034,33140360,47991184,15,0,14050771,359530017
1,1500,40678075,58567,108049859,254124148,346033,3960817,2897,8535028,4349323,8012444,696,10051,33690527,46539293,0,0,12717546,308518645
1,1600,34105221,50946,127826772,214725783,191609,2832004,3138,5949247,3071464,5210482,655,4512,10325435,14189637,0,0,26010270,409500780
1,1700,46042736,64648,110293101,261183827,339347,3625665,2389,7352613,3984379,7690127,706,12591,34887162,47641093,7,0,16015651,359264650
1,1800,30771395,47888,126048996,213110157,183454,2772347,1856,4982490,3370168,5991679,860,10170,21721813,28105396,0,0,21504337,356155171
1,1900,34208558,50738,126029994,206508474,178271,2535040,1535,4171007,2822878,5009616,907,9362,23871385,33535260,0,0,25627945,416279235
1,2000,28521738,42330,108610721,190351308,174314,2705331,1852,5017858,3380141,6002019,878,8852,24905638,31973639,0,0,21391934,347086210
1,2100,34131393,51108,127808036,216154174,191577,2798489,1708,4500680,2884742,4999793,807,9710,20770542,28819939,0,9,25610517,416002122
1,2200,29701295,42305,106438222,180192521,160127,2433644,1720,4738812,3315942,5991839,774,12554,24923904,32762507,0,0,24079155,378971942
