Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
0,31929962.636363637,47810.15909090909,116076863.56818181,197641580.47727272,196136.13636363635,2640285.1363636362,3520.681818181818,6414542.363636363,3066532.3863636362,4607430.318181818,16844.522727272728,15216.863636363636,22856044.272727273,24608321.65909091,32.04545454545455,53.61363636363637,22977430.818181816,395783795.70454544
1,46966980.56666667,70145.7,117467215.03333333,289771145.8333333,424844.76666666666,4206698.133333334,2830.1666666666665,8515320.2,4101555.2333333334,7287289.5,16783.4,14149.066666666668,33595937.5,34379243.2,1.9,1.2,13361298.233333332,335244019.96666664
2,11458263.768292682,27220.585365853658,118199977.85365854,277503391.9609756,111791.36585365854,1168612.7170731707,1237487.143902439,5407863.653658536,3973763.741463415,4869962.9,137985.33170731706,16599.719512195123,13924993.96097561,11735361.919512196,1.9853658536585366,0.6585365853658537,33713450.93902439,347901815.69756097
3,11454764.614634147,27075.968292682926,118164060.9195122,277189401.13414633,114466.45365853659,1158558.2048780487,1193058.336585366,5422134.33902439,4013874.7268292685,4881539.802439025,132714.1024390244,15081.675609756097,13841504.521951219,13957384.151219511,0.21951219512195122,1.5317073170731708,33789496.56341463,349147340.10243905
4,9058808.553658536,8661.512195121952,118235872.29024391,239372664.91463414,71158.09024390244,196785.0195121951,1508170.5780487806,7443791.7170731705,3196290.7780487803,3316840.9902439024,67219.53414634147,16241.348780487804,39709209.27073171,43502961.487804875,0.7024390243902439,0.5048780487804878,28538883.958536584,336108769.11219513
5,9307059.289215686,9122.254901960785,118272304.21813725,245984620.8897059,73100.25490196078,182945.11764705883,1444943.9338235294,7631050.409313725,3268566.786764706,3389387.8529411764,45965.23774509804,12975.06862745098,40823796.311274506,40981493.8627451,0.09558823529411764,0.06862745098039216,28979254.29656863,330060976.247549
6,9289266.653658537,6737.517073170732,118310992.83658537,247717918.88780487,139444.94146341464,719917.9414634146,2827.919512195122,9636726.21707317,4799416.780487805,5422450.907317073,70638.06097560975,21061.034146341462,40772653.395121954,40951740.53658537,0.6146341463414634,0.6365853658536585,25875100.034146342,334859686.8121951
7,9253075.100244498,7651.973105134474,118327439.05378973,246237947.80929095,131906.2249388753,851066.4621026894,2828.046454767726,9565547.875305623,4667154.295843521,5378782.831295843,111265.195599022,25116.088019559902,40464246.66259169,39754038.32762836,2.9144254278728607,1.2322738386308068,27480412.42787286,332513115.0440098
8,9002373.112195121,9254.217073170732,117948168.9707317,238588469.72682926,134526.6048780488,823583.5390243903,1195578.9804878049,9222115.392682927,4405229.86097561,5106241.521951219,87465.22439024391,20197.936585365853,39294823.44390244,42275406.28780488,0.5219512195121951,0.48292682926829267,27046131.158536587,333848349.7121951
9,9221683.912195122,9765.163414634146,118200131.21463415,244123498.7682927,138715.71707317073,756638.7902439025,1207540.8146341464,9428195.829268293,4574745.792682927,5239647.714634147,67166.0487804878,22219.675609756097,40488388.948780484,28611687.119512197,1.697560975609756,0.8560975609756097,26608021.658536587,333739631.25609756
10,10249764.666666666,38875.333333333336,115122297.33333333,245275228.33333334,681729.3333333334,1335689.6666666667,1139744.0,4662897.0,3288320.3333333335,3835057.0,532172.0,19453.666666666668,13057917.666666666,15374799.0,3.0,0.0,37264782.0,338250685.6666667
11,10329450.0,37540.333333333336,114574331.0,244581796.33333334,697833.3333333334,1276913.3333333333,1176796.0,4719993.666666667,3330763.6666666665,3840675.6666666665,566326.6666666666,19414.333333333332,13084249.333333334,15657118.333333334,22.0,0.0,35786568.333333336,341147065.3333333
12,5988928.685365854,9069.49756097561,118137822.04146342,275364800.0487805,9098.658536585366,106092.72926829268,3847240.729268293,5628615.86097561,3075398.129268293,3125378.7097560978,35171.98292682927,17977.073170731706,46027510.973170735,46219791.52195122,0.1975609756097561,1.6170731707317074,28157294.412195124,359651393.8926829
13,5760919.675609756,7319.421951219512,118126014.96829268,266927889.11463416,69841.18780487805,599344.1048780488,2760675.7780487803,6764970.221951219,3875615.524390244,4367452.568292683,85555.47317073171,22556.83414634146,44179406.67317073,44414113.37317073,0.24634146341463414,0.02195121951219512,32540649.63414634,348740625.9756098
14,5763027.946341463,7182.817073170731,118155529.48048781,266360238.75609756,81032.37073170731,633600.1902439024,3703875.2902439022,6895367.312195122,3791418.875609756,4308682.365853659,93044.08048780488,21152.704878048782,44701576.96585366,44974144.775609754,0.4219512195121951,0.1975609756097561,31934165.09512195,350216540.68292683
15,9261477.056097561,6601.365853658536,118101547.18048781,245274077.65609756,67182.3,147926.96585365853,1396627.968292683,7643941.697560975,3321886.0146341464,3423286.843902439,25402.89512195122,18080.204878048782,40628432.009756096,39076224.629268296,0.00975609756097561,0.04390243902439024,23181640.41707317,332348286.95609754
16,9158850.787804877,8898.868292682926,118130372.07804878,245022338.0,146978.80243902438,736172.9951219512,51478.34146341463,10493786.995121952,4910170.1,5371479.009756098,83503.45609756098,20546.626829268294,40284314.23902439,40441121.71463414,0.4170731707317073,0.43902439024390244,25481728.14634146,335883749.7195122
17,9120945.651219511,6728.9,117603512.41707318,241719440.60731706,127304.42195121951,869228.668292683,1274002.8317073171,9399816.565853659,4510894.141463415,5245631.858536585,110506.74634146341,22777.392682926828,40118421.72195122,38254257.76585366,1.4926829268292683,0.7024390243902439,27121296.0,332315710.07560974
18,9342445.14390244,7067.736585365854,118176907.95853658,245141381.39268294,71499.13902439024,179656.0024390244,1311703.4268292682,7659384.480487805,3273413.992682927,3392179.926829268,42331.263414634144,14444.658536585366,40898723.185365856,41098237.75365853,0.35121951219512193,0.15365853658536585,27771860.94878049,331307333.8926829
19,9142756.5,6860.129901960784,118235449.98529412,242274604.58578432,129779.88480392157,1006964.6176470588,2826.360294117647,9447001.406862745,4486676.536764706,5265040.200980392,202923.75980392157,17668.58088235294,40127515.64215686,40285525.813725494,1.3235294117647058,0.8382352941176471,28731461.70343137,328586971.98284316
20,9276459.424390243,9369.814634146342,118168678.13414635,244098768.18292683,134887.41463414635,813204.556097561,1227276.6073170733,9497720.258536585,4548177.370731708,5252165.402439024,84723.22682926829,17922.258536585367,40721192.30731707,31193951.30487805,0.4024390243902439,0.0,27204319.96097561,335499895.43658537
21,7251229.856097561,12885.234146341463,118234999.84146342,268357572.3219512,55410.865853658535,114874.45853658537,1077756.387804878,7070243.86097561,3966821.124390244,4044410.0292682927,11624.812195121951,18536.675609756097,37270669.38536585,32352184.797560975,0.0,0.0,27577613.092682928,342650147.8780488
22,7141392.346341464,12974.473170731708,118241010.06829268,265701372.27073172,95768.90731707317,575619.9292682927,2834.009756097561,8382272.290243902,4923443.524390244,5408271.470731707,64403.23902439024,21248.219512195123,36601219.13902439,37030556.79268292,0.7268292682926829,1.6878048780487804,28267498.668292683,345575347.8317073
23,7092910.307317073,8886.548780487805,118216395.64634146,263931354.34146342,91460.98780487805,737963.7390243902,887283.1097560975,8295387.734146342,4747848.585365853,5317159.158536585,139552.75609756098,20563.59268292683,37014229.72926829,32336591.10487805,0.7975609756097561,0.06585365853658537,28799700.43170732,341547982.94634145
24,9577881.139364304,10869.916870415647,118224220.72371638,259761098.1613692,13774.552567237164,104895.44498777506,1493909.6797066014,8860620.60635697,4435578.567237164,4347933.009779952,22543.48899755501,13981.056234718826,40178687.77261614,39954875.64303178,1.4083129584352079,0.8581907090464548,23622406.608801957,351602792.3031785
25,8903849.18292683,7486.2121951219515,118200050.07317074,245991469.77317074,106315.44634146341,792847.0170731707,2838.3756097560977,9924286.392682927,5536732.343902439,6194033.229268293,107514.56829268293,20059.436585365853,37309755.68780488,37514920.17317073,0.6439024390243903,0.32926829268292684,30034024.163414635,331003139.5707317
26,8812503.251219513,10854.726829268293,118349599.70487805,241403431.64146343,126212.86341463415,1024648.6,1102762.9292682926,9753579.748780487,5234218.709756098,6064800.948780488,169093.26585365852,19431.52195121951,37609390.53902439,38326439.80731707,1.3170731707317074,0.8560975609756097,32256192.5,326620643.52682924
27,13651575.142857144,23372.714285714286,116603248.71428572,239238705.42857143,311809.4285714286,436878.71428571426,1547082.142857143,1623015.4285714286,1074297.7142857143,1349175.142857143,72949.0,11218.714285714286,15734273.142857144,16596280.0,18.714285714285715,0.0,40957716.85714286,331191986.71428573
