Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,100,9800714,48605,117261921,244553013,121353,279365,1450338,7841062,3408072,3448992,745621,28782,37440538,41423321,0,0,18388840,343657259
15,200,10690317,7798,122668763,264447194,12455,148114,1401159,7473990,3083241,3188437,877805,27933,40621092,50231804,0,0,19727847,395138410
15,300,9126217,6065,104378520,225897876,14643,140845,1414117,8039852,3717510,3845462,727780,28289,42074813,46823621,0,0,17859915,347189006
15,400,10453441,6995,125382444,268072910,30167,155467,1509273,8281209,3504568,3475316,19662,22940,36021428,40156090,0,0,20528345,360185033
15,500,10008117,6372,113190035,233479144,60230,120296,1255966,6851963,3125872,3394545,15120,16975,44602518,46065974,0,0,24705744,365671241
15,600,8556195,6403,117472748,248595572,70601,157501,1478107,8058319,3524329,3633084,23317,19826,40883415,40768228,0,0,21181170,300768584
15,700,10088318,6960,125906026,259931832,71744,140613,1344029,7098240,2987312,3063707,14129,14415,40468471,43821641,0,0,25371787,363338001
15,800,8437318,5549,105109179,220693164,66596,140708,1406339,7968314,3581623,3656056,19372,19343,43875009,45709902,0,0,22189526,309964657
15,900,9989760,7195,125861394,261703230,69436,161081,1487168,7956303,3312584,3272408,18290,17936,36621139,37697224,0,0,24794404,351268916
15,1000,9562891,6262,109039602,226193524,61693,134196,1256056,7100109,3266648,3513281,20318,21871,43958071,35618354,0,0,25646522,356838564
15,1100,8957089,6582,122602690,258434685,70274,154451,1484677,8125498,3529468,3696656,20627,17516,39415954,28464398,0,0,20364696,305202648
15,1200,9965015,7427,126334534,255666110,69917,135174,1304984,6868502,2999549,3100820,13788,14821,41423468,34247181,0,0,24290066,360142810
15,1300,8458575,6210,105494158,229986954,67446,145006,1457371,8237835,3556893,3655915,21433,20531,44157574,34221345,0,0,21560239,300378359
15,1400,10090871,7383,126470611,262895741,72074,150829,1485285,7784826,3185881,3144209,14480,14731,36769289,29523987,0,0,24372807,361700454
15,1500,9218996,6335,105536821,221391027,64179,122697,1294258,7348080,3407641,3653896,17321,16718,43846999,34935309,0,0,25642298,343558095
15,1600,9287204,6709,126473514,263833161,73692,163937,1485776,8189477,3593771,3625714,16622,16800,37920380,29845031,0,0,21909772,314655233
15,1700,10031333,6719,121946665,248675766,63697,133695,1265422,6869140,2980902,3159146,16270,16898,43078556,35624122,0,0,23944168,360782639
15,1800,8417334,5378,110323576,238711318,68246,145937,1499721,8207974,3571233,3673568,20613,19107,43757893,33879176,0,0,21795923,298806907
15,1900,9938057,6917,126605306,264339867,72514,146385,1433816,7527860,3047062,3089001,15726,15084,37199244,32670065,0,0,25394179,358350701
15,2000,8786198,5860,105541461,221059306,60247,134560,1337449,7588668,3521013,3713309,21365,20692,43609678,36053666,0,0,22929201,330303492
15,2100,9597435,7098,126589884,263512353,73914,159388,1491002,8218709,3553539,3496810,16608,15867,36943444,30970907,0,0,23213576,326131483
15,2200,10064612,6804,117426047,240505673,65528,129220,1266035,6882485,3022880,3291044,17621,17776,44280582,36368940,0,0,24278465,359953774
15,2300,8411301,6656,114930174,244895884,71766,147835,1507988,8203649,3538013,3655462,18013,17884,41842116,32250659,0,0,20221420,299818346
15,2400,9912796,7380,126655044,263599783,73714,144353,1373537,7213562,2999549,3082602,16927,17192,38909350,35789744,0,0,25696358,355850792
15,2500,8413060,6376,105600277,219875093,66608,138325,1404581,7931696,3585080,3667669,19377,18193,43813445,36950326,0,0,21248493,310909658
15,2600,9974875,7821,126417364,262118792,71553,162194,1486205,7961112,3309708,3274025,16322,14292,36524941,31164170,0,0,23827372,346601665
15,2700,9442209,6502,109224612,227193466,59212,129552,1256633,7067861,3267555,3532030,17059,17047,43641537,37283580,0,0,25163061,352144813
15,2800,8889437,6903,122965615,257686587,75514,159843,1504781,8221983,3564722,3693516,18619,17055,39010191,31636408,0,0,21397772,300786423
15,2900,9902333,7509,124511681,252066894,67151,137326,1290450,6852284,2979836,3079800,16938,18127,41738679,37758297,0,0,24386804,357457812
15,3000,8378364,5984,107771430,232874207,69056,149397,1482241,8240168,3564025,3660865,21106,20222,43935192,36925785,0,0,21391561,297754269
15,3100,10010927,7460,126641368,263456128,72514,155490,1452132,7639920,3117715,3069660,16281,16433,36495124,33229114,0,0,25577832,355999726
15,3200,8933661,6366,105674647,220494104,62107,131258,1315267,7444455,3439272,3674778,20393,19439,43801190,37784996,0,0,23909755,334395972
15,3300,9450044,7037,126826911,266476539,71643,153093,1504117,8202721,3583163,3530312,16335,15046,36539532,32123901,0,0,22038106,321782881
15,3400,9918476,7469,117464488,239048603,65902,131077,1256319,6874397,3025599,3281904,15485,15735,44037296,38546357,0,0,24661375,357328172
15,3500,8403516,6942,114618057,244114106,71424,152694,1511395,8169955,3517687,3627421,23708,19591,41751036,33894753,0,0,20517622,298859032
15,3600,9893490,7919,126574709,262102717,70772,149261,1373687,7208152,2984217,3087469,16165,17894,38779644,36873405,0,0,24538054,357068756
