Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
0,48865334.202439025,19810.060975609755,117821361.31951219,305980199.097561,501298.4536585366,4699055.973170732,2837.0853658536585,8884887.712195123,3980590.802439024,7580136.875609756,101960.12926829269,15330.478048780487,35014018.47804878,26933653.814634148,0.9146341463414634,9.263414634146342,25664038.831707317,364634086.2146341
1,49823624.924019605,19513.28676470588,118178573.2745098,312128977.14460784,495932.29411764705,4843595.286764706,2833.225490196078,9059696.50490196,4017482.6151960786,7733325.397058823,104377.2794117647,13993.071078431372,35705520.86519608,36287472.955882356,1.2156862745098038,13.504901960784315,26546456.42401961,364625534.0269608
2,10684906.824390244,7525.419512195122,118153891.43414634,281586001.9,320633.5487804878,1423612.3268292684,1341246.9975609756,6185398.529268293,4505712.456097561,5378336.939024391,424512.98536585364,17598.539024390244,13380788.126829268,14440479.9,3.6,85.90243902439025,31188096.409756098,350712961.702439
3,10502334.307317073,7236.997560975609,118254316.9195122,277485347.55609757,317250.7463414634,1418834.3853658536,1337226.6707317072,6124364.2829268295,4467626.634146341,5354887.858536585,427069.2487804878,20986.048780487807,13506362.187804878,14533115.529268293,5.970731707317073,44.65609756097561,31290734.034146342,350814514.66341466
4,8078263.551219512,4292.351219512195,117750547.5,213468508.57560974,104311.83902439024,1635318.7585365854,1179407.8463414635,6935370.548780488,2509343.43902439,3112167.7146341465,953106.4048780488,20292.343902439025,35273256.98292683,35809770.14878049,1.602439024390244,16.753658536585366,35663654.8902439,296371785.0463415
5,8341340.542787286,4824.320293398533,118150510.95843521,220631485.75305623,106290.68215158924,1651354.95599022,1226035.0586797066,7149537.765281173,2557688.229828851,3207561.726161369,928482.6723716381,19991.68215158924,36556675.64303178,37134750.64058679,0.4180929095354523,43.22738386308068,34625813.15647922,297971753.14914423
6,7403369.06601467,3407.4474327628363,118256439.40342298,197163601.29339853,205053.59168704157,4206714.91198044,2845.921760391198,8264452.432762836,1799646.9315403423,4769167.733496333,1180512.02200489,21292.21760391198,32212888.369193155,35339696.38630807,1.374083129584352,50.84596577017115,42926287.00733496,278602022.9608802
7,7411962.187804878,3352.5048780487805,118131392.83170731,197154110.00487804,211614.81951219513,4252475.143902439,2833.2804878048782,8309522.334146341,1800568.6926829268,4796051.463414635,1189535.943902439,23859.675609756097,32418048.063414633,28516681.01707317,9.073170731707316,45.87317073170732,42979112.71463414,277767775.28292686
8,6742636.638141809,2693.4449877750612,118278006.88753057,178112214.27383864,204251.61369193153,3435788.990220049,969390.4205378973,7285173.992665037,1695460.1833740831,4091318.97799511,974417.3178484108,20918.21760391198,29663624.268948656,30241676.31784841,0.43031784841075793,69.29339853300733,51839523.57701711,249928969.8948655
9,6700477.853658536,3417.612195121951,118055425.74390244,177573132.1609756,197262.1463414634,3465228.6195121952,963344.1951219512,7268453.607317073,1671406.387804878,4074085.0463414635,1000545.3902439025,24398.443902439023,29538234.873170733,30100346.158536587,0.9170731707317074,158.73658536585367,51106438.395121954,250783873.0121951
10,10478201.622568093,7060.972762645914,118111609.43190661,274756164.28793776,438705.4280155642,1626923.1828793774,1053068.1361867704,6539516.140077821,4700862.680933852,5678146.579766537,503944.44357976655,17065.4280155642,13204032.684824903,14850523.054474708,3.544747081712062,57.11284046692607,32548347.622568093,346014018.540856
11,10985420.546511628,7081.6821705426355,118150117.10465117,275295492.44186044,442240.9147286822,1656319.7480620155,1051811.1666666667,6451578.007751938,4586115.957364341,5614888.635658915,506176.1085271318,16245.17441860465,13161721.682170542,11586006.515503876,2.294573643410853,63.63178294573643,32743770.03875969,345653855.60465115
12,5455131.421951219,2667.958536585366,118170417.53658536,249718272.2804878,95806.82682926829,1275369.2,3358239.1390243904,5422737.007317073,2359924.0,2973736.463414634,567209.3073170732,24836.148780487805,41843750.42195122,42322866.0804878,0.8121951219512196,13.885365853658536,37093178.009756096,331672338.5390244
13,4957453.473170732,2956.0146341463415,118002826.2707317,229800981.28780487,125437.52195121952,3021205.468292683,2412849.5780487806,6262612.226829268,1835200.8512195123,4069754.9487804878,746312.3512195122,26906.773170731707,37754970.875609756,38372706.434146345,0.7902439024390244,38.260975609756095,44832863.03170732,305440076.1195122
14,4563744.3975609755,2680.0780487804877,118071858.71707317,209839299.8097561,166019.65853658537,2511185.882926829,2765342.3,5627749.553658537,1792725.3951219511,3585480.4585365853,648018.0341463415,28844.839024390243,35343596.82682927,25239313.456097562,1.7097560975609756,30.07560975609756,50401985.86829268,282257874.7414634
15,8270472.895377129,3284.214111922141,118147938.16545013,218773408.5060827,107101.95620437956,1678450.9318734794,1206134.0170316303,7103831.238442822,2526542.9172749394,3191250.0559610706,937837.3041362531,25439.851581508516,36215073.07055961,34451945.177615575,0.25060827250608275,20.131386861313867,35860375.773722626,306050935.30656934
16,7492106.530562347,3362.073349633252,118169045.82151589,200148445.2616137,208426.7628361858,4159002.3667481663,11757.753056234718,8277585.288508558,1799646.6797066014,4713378.268948656,1162535.1173594133,24471.00488997555,32819625.168704156,33395351.486552566,0.687041564792176,57.14914425427873,42926550.30562347,284864103.8948655
17,6802147.975609756,3141.1487804878047,118110648.26829268,179905546.77073172,209901.63414634147,3434237.980487805,979502.0658536585,7377021.948780488,1730799.5658536586,4149128.775609756,949112.9536585365,24812.158536585364,29887363.302439023,30490117.119512197,0.3121951219512195,45.795121951219514,50473117.74878049,259290677.94390243
18,8114070.902439024,2941.919512195122,117216292.63658537,214511378.66585365,104387.90243902439,1559738.2512195122,1231922.9487804878,6988738.690243903,2509915.1585365855,3120936.9487804878,861419.243902439,21926.634146341465,35657174.96341463,36110335.509756096,0.9,15.336585365853658,35772894.587804876,308331297.2585366
19,7403733.479217604,3643.4669926650367,118186498.51589242,196889434.2982885,209391.02689486553,4124922.643031785,2837.352078239609,8147136.743276284,1747512.7701711492,4627699.056234719,1162438.4914425428,26197.73838630807,32371801.246943764,32932608.300733496,0.8141809290953546,52.58435207823961,44012413.69682152,280695588.1858191
20,6699681.253658537,2890.7853658536587,118144774.07073171,176643495.96341464,208411.4780487805,3477168.2804878047,950983.1268292683,7231805.002439024,1619883.268292683,4050153.9024390243,976954.6146341463,22799.809756097562,29416090.880487803,29969497.007317074,1.5804878048780489,75.22682926829269,51962420.09268293,254985044.8097561
21,6451427.711491442,3402.4596577017114,117953115.55012225,238597882.40831295,105898.06601466992,1575434.6552567238,931210.3129584352,6673655.5256723715,3015185.9926650366,3840489.3398533007,707611.0611246944,25607.234718826407,33342060.750611246,34196170.22738386,0.11735941320293398,43.821515892420535,35743381.251833744,319357182.27139366
22,6032773.17804878,4190.604878048781,118135186.84146342,224623888.1097561,178451.23414634148,3443007.8487804877,2832.390243902439,7648739.382926829,2483036.6707317075,4934588.2829268295,883041.9926829268,27433.1,30891097.90487805,32583256.64634146,0.1926829268292683,43.239024390243905,41492537.487804875,301059129.19512194
23,5529480.475609756,3249.8926829268294,118064659.65365854,205294911.3,177187.55121951218,2832654.524390244,752932.7731707317,6801502.424390244,2316952.351219512,4306766.768292683,746585.731707317,27119.107317073172,28925963.968292683,29467751.02195122,1.448780487804878,96.79024390243903,49075479.23902439,273862410.3292683
24,8096162.441463415,3605.180487804878,117760153.53414634,219616030.3682927,101801.74146341464,1963696.4853658536,1173855.187804878,7428202.968292683,2792328.236585366,3833558.975609756,809425.1268292683,23226.134146341465,33975702.026829265,34476252.99268293,1.7121951219512195,28.87560975609756,38266974.27804878,305526260.7707317
25,7381351.778048781,3779.868292682927,118190735.8512195,204332078.40243903,203992.1756097561,4331792.48292683,2837.2195121951218,8704448.197560975,2211824.368292683,5439892.921951219,1018677.7341463414,22130.773170731707,30893628.76097561,31461313.73414634,0.11219512195121951,45.00731707317073,45761966.53658537,283549224.8097561
