Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
0,45544216.20967742,70640.3870967742,117698187.20967741,283400001.2741935,451289.5483870968,4005194.2580645164,2839.1290322580644,8307374.5322580645,4140077.435483871,7141847.645161291,10453.90322580645,19642.274193548386,32520514.48387097,29222038.5,0.2903225806451613,10.129032258064516,14983258.774193548,333390769.0967742
1,44056115.671875,71576.5,117538429.21875,272407973.4375,484045.890625,3907172.671875,2843.109375,7981321.8125,3921008.265625,6843140.59375,12587.390625,22337.125,31250154.546875,22955848.703125,0.34375,36.40625,18048205.609375,323479431.25
2,10886742.12745098,27353.718137254902,118021101.96568628,271322946.75735295,121220.92156862745,1276655.137254902,2734093.536764706,5411433.514705882,3863073.713235294,4847039.799019608,157197.67892156861,18983.835784313724,13764834.664215686,12023435.144607844,0.7818627450980392,9.009803921568627,34562627.48529412,344686514.86764705
3,11094765.715686275,27582.83823529412,118352818.3235294,273622948.29901963,122328.64950980392,1285596.237745098,2933997.0196078434,5430001.242647059,3881317.0098039214,4859600.68627451,161096.3431372549,20551.20343137255,13903004.301470589,14305746.036764706,2.3823529411764706,3.7279411764705883,34567309.561274506,344801726.96568626
4,4563868.419354838,45334.88172043011,118145704.0,280323647.49462366,186921.04301075268,1655947.5806451612,25182871.139784947,6126395.3655913975,4424451.688172043,5823205.419354838,10065.494623655914,21808.94623655914,21770946.16129032,22050368.075268816,2.129032258064516,2.129032258064516,37269549.70967742,319745888.41935486
5,4465444.425531914,44356.244680851065,117710571.22340426,275226118.4255319,206263.914893617,1592776.7127659575,24757677.893617023,6033424.521276596,4400700.765957447,5753358.79787234,8857.840425531915,22730.67021276596,21414091.563829787,18783206.031914894,1.5319148936170213,13.457446808510639,37434969.22340426,315626319.21276593
6,13523793.589242054,41621.31051344743,117938206.5794621,254739732.55256724,82623.65770171149,1316981.2029339853,5833381.748166259,5075191.885085574,2980235.259168704,3884582.078239609,169153.93398533008,21880.383863080686,34658206.05867971,34101412.317848414,0.7579462102689487,3.1466992665036675,34338861.17359413,325887536.0122249
7,13514900.07107843,41327.87254901961,117958757.8235294,254531381.48039216,80550.01715686274,1368981.6544117648,6040234.517156863,5387269.625,2939417.294117647,3873948.1960784313,177815.13235294117,19706.485294117647,34635651.26715686,34764179.52696078,0.4411764705882353,3.340686274509804,34521594.36519608,327317649.88480395
8,11857641.584766585,38016.685503685505,118092940.8058968,223135390.94103193,84934.30958230958,1277194.027027027,5363242.668304669,6012488.321867322,4110521.7174447174,4852968.515970516,378034.72235872236,21735.095823095824,31094123.855036855,31210230.368550368,2.742014742014742,1.6142506142506143,44649541.82800983,290843242.86732185
9,11846131.791666666,38090.00490196078,118060801.22794117,222845438.0490196,82750.1593137255,1288053.294117647,5343350.44117647,6014267.00245098,4104557.036764706,4856848.9215686275,377845.9093137255,20626.36274509804,31056599.19852941,31181441.24509804,3.8161764705882355,2.0465686274509802,44448445.76470588,291128744.09068626
