Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,100,11984370,76370,117110685,201424481,384859,1600824,5227636,6246169,4068813,4834081,680826,23799,28583092,30883190,0,0,46031173,281439541
15,200,13361730,37273,122962957,215296818,224393,1302357,4934296,5456365,3705020,4222078,619332,24267,30702306,35710273,0,0,51120518,317917908
15,300,11212188,31559,104813436,205828374,23450,1208176,5793731,6726708,4491446,5332212,435815,19798,33435797,34549628,0,0,43087864,266722675
15,400,13601972,38194,125420472,238144525,22961,1247793,5929713,6145298,4087466,4520441,363365,16243,27870349,30070292,0,0,49773825,323338964
15,500,12073957,32643,105252343,199397260,19114,1056044,5215005,5945869,4377417,5460130,437461,19608,33333984,34710986,0,0,47533709,297865729
15,600,12584499,38131,126344446,240171693,22710,1262750,6131791,6622150,4543492,5161837,397511,18312,27831867,28890314,0,0,42709887,289844183
15,700,13446742,36745,116515351,217253685,19179,1057065,4886478,5564918,3970426,4817390,402388,20223,33439826,34463221,0,0,49073339,319050018
15,800,11334249,33444,115184436,220484450,23254,1250646,5981784,6548721,4521451,5489632,439842,19148,31141968,30369571,0,0,40850963,265495790
15,900,13442029,38696,126133545,241003780,23442,1196948,5653945,5830827,3896509,4555536,358716,18033,29765179,32121055,0,0,49263143,317891478
15,1000,11079944,32492,105392067,199826451,21666,1157311,5751988,6378887,4658458,5453993,439098,17582,33454509,34266006,0,0,43036191,273262117
15,1100,13217860,38880,126273380,240187643,27199,1266080,5983293,6639284,4554681,5127348,403387,22769,27586910,28176445,0,0,46922728,308020945
15,1200,13515869,38967,119073278,219217569,25270,1092770,5198762,5605851,3856073,4678979,393884,27084,33023887,33771421,0,0,48368398,316486319
15,1300,11275233,32332,112813307,218440048,25157,1271622,6267587,6708851,4677452,5413014,428800,20080,32367757,31244873,0,0,40269497,263857143
