,0,1,2,3,4,5
0,sp,adi,add,timer_start,elapsed_time,
1,sp,adi,add,timer_stop,elapsed_time,
2,sp,adi,compute_rhs,timer_start,elapsed_time,
3,sp,adi,compute_rhs,timer_stop,elapsed_time,
4,sp,adi,txinvr,timer_start,elapsed_time,
5,sp,adi,txinvr,timer_stop,elapsed_time,
6,sp,adi,x_solve,ninvr,timer_start,elapsed_time
7,sp,adi,x_solve,ninvr,timer_stop,elapsed_time
8,sp,adi,y_solve,pinvr,timer_start,elapsed_time
9,sp,adi,y_solve,pinvr,timer_stop,elapsed_time
10,sp,adi,z_solve,tzetar,timer_start,elapsed_time
11,sp,adi,z_solve,tzetar,timer_stop,elapsed_time
12,sp,verify,compute_rhs,timer_start,elapsed_time,
13,sp,verify,compute_rhs,timer_stop,elapsed_time,
14,sp,adi,x_solve,lhsinit,,
15,sp,adi,y_solve,lhsinitj,,
16,sp,adi,z_solve,lhsinitj,,
17,sp,exact_rhs,exact_solution,,,
18,sp,initialize,exact_solution,,,
19,sp,verify,error_norm,exact_solution,,
20,sp,print_results,,,,
21,sp,set_constants,,,,
22,sp,timer_clear,,,,
23,sp,timer_read,,,,
24,sp,verify,rhs_norm,,,
