Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
0,41428379.49877751,23861.51100244499,117866170.50855745,259381800.37163815,554928.3789731051,4074333.6992665036,2862.317848410758,7545791.811735941,3301344.643031785,6235834.457212714,103958.34963325184,20794.022004889976,29695260.794621028,30253533.523227382,0.7090464547677262,223.1882640586797,28736866.545232274,305574902.7188264
1,35760287.01960784,23020.40931372549,117829503.1740196,223834547.74754903,590883.4387254902,3721529.6789215687,2840.6372549019607,6539391.0784313725,2694713.504901961,5353454.208333333,105245.7794117647,22333.926470588234,25647639.82107843,26186447.833333332,0.7965686274509803,352.75735294117646,40869950.291666664,265352607.16421568
2,10063626.410757946,9363.298288508557,117176824.37408313,251309557.92665038,363757.77995110024,1442789.6650366748,3037214.034229829,5309078.400977995,3611773.347188264,4477341.880195599,448863.3643031785,24537.264058679706,13057441.354523227,13762055.488997554,5.300733496332518,1011.8141809290953,36317836.09779951,319939462.3276284
3,10054818.37745098,9413.166666666666,118018214.68627451,254804668.26960784,368215.72794117645,1432462.1544117648,3087832.568627451,5400129.845588235,3721490.81127451,4567054.850490196,451249.70588235295,24036.51225490196,13099397.294117646,14212267.05392157,5.894607843137255,954.4264705882352,36390504.8872549,319272167.3504902
4,3881211.1564792176,10462.342298288508,117869049.28361858,265515364.97066015,269779.4107579462,1411778.002444988,20721157.750611246,5316249.1809290955,3870877.6797066014,4977541.672371638,103215.11246943765,27203.22738386308,18902300.948655255,17753242.161369193,6.386308068459658,190.59657701711492,38834766.73594132,300908314.55256724
5,4118081.7321867323,10612.181818181818,117978488.94348894,282602971.63882065,248378.94348894348,1290187.3194103194,22088844.626535628,5649197.520884521,4329121.891891892,5367354.085995086,104442.93366093366,21560.90171990172,20098290.024570026,20616470.481572483,0.4201474201474201,233.24324324324326,36420505.48402949,316784229.86732185
6,11514167.144254278,10753.579462102689,117925154.30073349,218336332.72860634,421321.47677261615,1716451.5476772615,4865733.533007335,4186831.229828851,1986488.325183374,3021657.946210269,380367.141809291,23697.528117359412,29840029.94621027,30367366.850855745,1.6772616136919316,155.13447432762837,44486891.76528117,282878954.6283619
7,10289773.051470589,9486.948529411764,117721015.86519608,196323947.37009802,431148.1274509804,1760343.6985294118,4467908.355392157,3832339.2009803923,1664557.4460784313,2754903.669117647,381171.61519607843,24167.629901960783,26469648.31862745,20543645.404411763,6.6495098039215685,180.17401960784315,51593119.34068628,254416341.5
8,9467103.634803921,9339.384803921568,117827365.5759804,181018234.1397059,597166.5735294118,1956886.2450980393,4071129.629901961,7987218.30882353,5323617.25245098,6552619.87254902,496756.58088235295,25339.916666666668,25107590.394607842,25625702.19117647,1.411764705882353,111.17892156862744,56253752.946078435,241894987.0
9,10147760.463235294,10065.463235294117,117928195.41176471,192797357.88235295,584533.4975490196,1994965.387254902,4354030.715686275,8529219.590686275,5768011.6715686275,7014694.2965686275,513698.98284313723,24309.357843137255,26643262.89215686,26761787.50980392,0.9975490196078431,178.54656862745097,52806438.553921565,256799366.7009804
