Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,100,10751429,55848,116385684,157670162,1176906,2557595,4421465,8162867,5457623,6466279,759054,32233,23011470,27211338,29,870,52181034,240074164
15,200,14356067,13556,122775328,218503520,922926,2012259,5471822,9372670,6136652,7024763,436399,26762,31252130,33979987,84,1352,53089193,306083687
15,300,5423898,9268,104282283,163125878,349635,1832956,2696870,9024077,6571476,7995417,1050679,33520,26743493,31567391,9,0,46917783,228661766
15,400,17047674,12205,124986239,221018109,914023,2408485,7531972,9856487,5776333,6549739,347788,27317,23021097,24152735,0,975,52143314,312291801
15,500,6220238,9457,104909481,172931459,540493,1740910,2502981,8583201,6426818,8204834,964489,28960,31677146,34027782,0,569,55548167,259492451
15,600,15438322,12906,126083072,207526070,572867,2279039,6373365,8893988,5456119,6897963,602495,27067,20565662,22826080,0,0,43874162,267504994
15,700,11778868,11142,119392810,215345941,937027,2046369,4387204,9569349,6619307,7943267,568084,27938,33659767,35021326,0,383,54468862,290379039
15,800,4326395,5482,110207997,147438439,423528,1818638,2862278,7256094,5087220,6245945,868688,28769,20009330,17221914,0,1688,39169529,255842514
15,900,4795395,6816,73181321,83358163,519934,1962134,1382491,5625493,2956280,4047872,342664,14158,14922946,13187436,0,555,47842767,327677529
15,1000,14250535,10131,106610246,181806055,623042,1968704,7209925,8377433,5644823,6984077,522075,28786,26218536,27709462,18,627,45438648,272867442
15,1100,7862143,11819,128334469,208461342,694757,2317137,2334031,10194584,6877089,7905647,941492,25013,25279141,27403758,0,0,50632575,244588104
15,1200,16222023,10717,118628268,201088785,660802,2006868,7084405,8138072,5272742,6970426,458250,28262,27376899,29206707,0,0,50633554,306469492
15,1300,12195478,8113,118718845,226982376,1229112,2391022,4375528,12103114,7757108,8745253,419685,20860,34838892,33207455,0,362,47356048,252374219
15,1400,6325640,9968,129422118,230082046,746811,2230596,2337966,9389857,6521111,7838845,1190298,17834,29188330,34474880,0,0,59067109,257138011
15,1500,4636086,8104,108238097,172347726,284553,1905706,4027340,8860172,7016765,8469423,839391,30515,26901638,30415328,0,18,43414684,264460789
15,1600,18594721,12681,130125802,225791216,530579,2398006,8350914,9326317,5768121,6713677,517488,20098,22228539,26234100,0,1114,49866418,282788021
15,1700,18428664,10307,116381164,203473028,1117307,2268255,5141056,8940078,5217006,6635431,505644,22293,28922161,30218268,0,0,49795144,322969869
15,1800,11755020,8315,121915544,237056762,1078014,2518728,4254997,12345999,8622969,10060526,559268,23867,34565104,33541604,0,0,45468175,252987272
15,1900,4964761,8009,130050218,233513842,761233,1903912,3042495,8533535,6381713,7272118,1135557,21679,29626809,35622430,0,0,59102780,259788818
15,2000,6501921,8971,108212805,156666828,245184,1936309,2847986,8678340,6629450,8323664,851986,29103,26318631,30043967,0,0,41930182,249853277
15,2100,18729124,12004,129918304,225860259,896619,2613923,8215000,9617771,5571595,6628995,555362,21118,20767677,22986284,0,0,48900224,303841251
15,2200,13752772,10145,113126884,206207002,1021950,1998937,5018487,10086747,6973808,8138275,434697,21611,35074124,34927175,0,289,52032481,310750698
15,2300,4529121,8552,124543411,206586504,702344,2109160,2624258,10181067,7679014,8863654,1238777,22064,27607872,29993381,0,0,49386045,205062468
15,2400,13763689,11736,129796958,207036177,430326,1996608,6000118,7877956,5549865,6924862,526859,25621,23074552,28205898,0,253,50441261,300563022
15,2500,14650844,9089,107988087,198792299,1023069,2419319,6947645,10262179,6345958,7507728,567093,23255,31050004,32223388,0,452,42056833,266611446
15,2600,9839745,8803,129522839,237158805,886816,2480283,3015577,10933464,7040175,8070816,763689,21198,28247026,29946239,0,0,60031820,266272654
15,2700,8003757,8578,109920710,171491781,327064,1800633,4603517,8167031,6600907,8283735,822449,25963,25898175,29117731,0,0,52712613,280492761
15,2800,16353851,10851,127451164,221124949,1026438,2391565,6902451,10192766,6289392,7514851,448518,21588,26068629,25490168,9,216,42583023,265417426
15,2900,9775354,10496,128074871,224791300,793263,2122714,2394003,9929223,6513279,7689672,813664,21134,33506211,36499211,0,0,61101810,265573551
15,3000,4651045,7371,109224520,179915896,331097,1972839,4606348,9174533,6871380,8390181,870040,27301,26531959,28978380,0,0,40276697,248259209
15,3100,19747454,12055,129282388,221775394,960100,2583357,7307952,9038877,4713152,5385548,699861,27079,22909071,25217467,0,0,51853401,301276028
15,3200,11301502,7640,107830847,205680095,861249,2178312,3100384,11058636,7953093,9700069,557187,21178,36022964,36120980,0,0,57320744,270778869
15,3300,4186504,7875,129276651,205553619,570697,2163183,3809547,9460463,7182059,8454406,912587,22939,24607800,27728042,0,0,44187591,244385675
15,3400,18273434,11916,122618483,202538690,542476,2042867,5404574,7357316,4311481,5862680,581640,27084,25321003,28571197,0,0,52648623,294807675
15,3500,13015809,8621,114302159,213886257,1040271,2549169,6010526,11898629,7541567,9012261,505633,22878,33497189,31446194,0,0,42710834,262657479
15,3600,4862637,8323,128956924,220790594,697027,2125604,3428945,8648625,6186079,7324458,1155001,20895,26831666,30734152,0,0,58001096,257746298
15,3700,13317035,10892,107257233,171089444,442599,2029244,4953977,8141318,5660393,7150547,688087,26717,25044375,28511570,0,0,47699532,269624589
15,3800,15096757,10264,129052212,230899342,1230888,2468234,6758715,12005414,7322460,8228642,402441,17947,27205762,26505070,0,9,46056115,294732644
15,3900,6476631,7593,117835244,206677000,722049,1778746,2972144,8572335,6756524,8090002,1099662,23415,33459677,35983979,0,0,59578386,259568861
15,4000,10146663,10088,118674937,189100413,349633,2212297,4213923,8835092,6072828,7594454,753693,28521,23505724,25348416,0,0,41513513,243206052
15,4100,17428916,10920,128951887,224832472,1128129,2610366,7877894,9809952,5688809,6699637,484387,25854,25698090,27790944,0,0,50646425,313689975
15,4200,8989041,7458,107404914,202742706,908969,1998049,3504841,10263143,7709839,8973014,743425,22167,35819776,36730311,0,0,56384596,249772852
15,4300,7510203,10296,128683614,198035999,403668,2182975,3309200,8937813,6469337,7629850,819187,22790,20618193,23887448,0,0,45978531,260696154
15,4400,17576051,10753,117944331,205590803,724131,2004178,8305918,8437967,5557637,6919851,472361,22596,26617018,29001838,0,1082,51719393,305593527
15,4500,10675723,10194,118134589,223444160,1060870,2376834,4073015,11536382,7173488,8295277,669563,22203,33517042,32190541,0,351,49028437,235036026
15,4600,6535044,9802,128679095,198899891,396691,2031763,2821576,8309339,6034756,7175161,813135,28594,23803193,28392069,0,0,52968250,276740690
15,4700,14945696,8745,107269458,186337711,609867,2232190,8170068,9193686,6018692,7520027,719407,25808,27177849,28866118,0,0,44424359,262098878
15,4800,14578789,10253,128661688,237007542,1253723,2510294,4340592,11249152,6719418,7359731,481644,17803,29064282,28842043,0,0,53960284,286345976
15,4900,5902580,8176,110807378,181253922,451786,1770731,2853882,8443974,6875276,8485769,1003957,25822,28136396,31573098,0,0,54043935,270572330
15,5000,14826401,10699,124644599,208829809,556976,2283399,8058573,9436178,6109390,7700260,580183,25516,24012390,25001926,0,0,43108227,250699432
15,5100,14092031,10049,126576425,223624773,1183486,2416049,3118732,9927790,6005639,7179398,557504,19265,32564898,33476150,0,0,56532082,293897299
15,5200,3352491,6583,109020444,193184612,577877,2095906,3204360,9590418,7337586,8926123,1236266,23832,29500907,31204211,0,0,45157110,226542393
15,5300,15430025,11474,128672797,210517113,453176,2252022,7144482,8290367,4882330,5743319,491591,24449,21767178,25716057,0,459,52030510,291227346
15,5400,14169999,10500,107023274,188592743,1050643,2287776,5198240,10779956,6976209,8186783,452148,22073,31785631,30553979,0,0,50842646,278970216
15,5500,7365129,9122,128462297,243131841,802050,2245788,3179818,10487566,7682527,8705980,964203,20890,28649365,31272471,0,0,52058254,245017192
15,5600,9436150,10235,116574507,172039951,254608,1831976,3477245,7115096,5048025,7047646,864134,28162,25955609,29076360,0,495,50091640,292367775
15,5700,15936647,10279,118861497,206404346,1070000,2629286,8117098,10697388,6209928,7355648,597621,22217,26166099,25077810,0,0,42889746,254184247
15,5800,11203858,9055,128410306,238583290,1000527,2037783,3834776,9885337,7000902,8119386,381808,19657,33032604,34729476,0,0,55789408,288305338
15,5900,6363597,7733,106072310,156214454,530304,1954275,1918296,7960025,5816779,7377819,873689,24552,24231960,26047592,0,0,41262764,233264196
15,6000,10928735,11059,128338417,200548633,320121,2168872,6392377,8492575,5343600,6230147,677704,25890,21638554,25209939,0,0,49892205,295742290
15,6100,16073375,9714,106859149,182029506,1135654,2316955,5016549,9869111,6200142,7547306,463992,20278,30234397,29738542,0,0,52965678,292124507
15,6200,7210841,8586,128052900,236115826,833383,2271925,3298377,10674557,7906379,9475104,785025,18532,30198927,31023523,0,0,49662130,234387586
15,6300,10693860,11866,125341312,186038067,368763,1977317,4212534,7234912,5022886,6497349,799197,25737,25239583,28973428,0,0,51096400,289343957
15,6400,15321510,11001,109808923,200803723,1068815,2490324,7785359,10949966,6459959,7551316,467344,23351,28919109,27798213,9,18,42694028,257842022
15,6500,8903905,10471,128157343,240249744,864274,2124734,3531800,9915912,6930075,7561994,788604,22154,29577414,32348493,0,0,57917938,276180494
15,6600,7726899,9850,106771342,155285009,246986,1817568,3114979,8089116,6160518,8120907,1005308,28850,25919806,29488202,0,0,50690083,265622512
15,6700,16261863,11614,128156458,222471852,1058995,2651951,8027535,10735669,6281149,7338817,514229,20795,23369508,22776458,0,0,43618052,272917869
15,6800,9589684,9840,122981517,224404906,927001,2043421,3440805,9164978,6904444,8115477,715228,19409,35371817,36585669,0,0,57958592,280757293
15,6900,6373242,9052,111738508,167367578,367718,2062094,3325587,9011429,6368324,7816684,949749,30565,25196054,27223881,0,0,42848198,230947032
15,7000,13213933,11390,127601982,228763020,934308,2228028,5036609,9660280,6484520,7294545,310403,18554,26872650,28630606,0,0,56799822,286769208
15,7100,5211907,8598,106585795,155323954,431168,1905131,2698593,8550280,6760731,8513206,1076624,26110,27634750,31069895,0,0,53758010,247946320
15,7200,16183790,11343,128041110,222484362,925566,2479995,7748602,10263065,5950756,6976622,430980,23914,21644190,22842497,0,558,45987184,278783916
15,7300,11202378,9773,120832699,220679742,817782,1905134,3720023,9547669,6586581,7929054,661666,23054,35941274,36002667,0,585,55584304,285535288
15,7400,5541067,8782,113866854,179143914,380500,2058205,2667750,9170108,6739992,8148875,1174282,28530,25138794,27394539,0,0,45121526,225142009
15,7500,17401190,12146,128035359,221019642,994215,2504033,7984613,9196750,5260969,6444111,438679,20070,22765382,25256529,9,0,50179046,311167760
15,7600,10676893,8044,106591337,201887567,1050697,2029312,4183006,10751260,7564995,8708002,493882,21213,36182314,35814790,0,0,52066720,262622037
