Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,100,1431963,57180,54813717,54310677,889947,1384051,2012103,4136571,3005575,3493323,542900,16598,11230263,14526979,0,0,27444082,99477446
15,200,16477422,13059,117809773,193353555,850648,2116084,4629451,8741515,5067095,6125276,479810,26977,28107348,32168547,0,1093,59192704,293237681
15,300,6427577,8696,102026724,161982884,351230,1729093,4855194,8734858,6858851,8119549,601921,30818,24705963,30677041,0,0,47584217,254285701
15,400,15579822,11399,123092691,214334284,1224627,2245903,4954539,9904216,6030358,6566220,513506,23307,27399847,28291376,0,1464,54726304,296465792
15,500,7596526,9609,107504488,166701235,331945,1687694,3940104,7931964,6472057,8012962,690437,29188,26137439,30191112,0,572,52683518,282887386
15,600,12953442,10527,120312748,211075207,1173300,2337672,5109617,10215318,6469301,7538598,435065,26355,29084965,28138756,0,525,45345036,254735514
15,700,8566091,10737,124237270,189433076,471907,2028273,3578250,7948064,5827407,7081927,738414,30434,25196646,29788183,0,376,53673205,274182588
15,800,10856657,8761,103427971,152178756,703813,2022285,3510320,7659294,4319166,5587477,490274,25486,25231418,25491619,0,2595,39851104,253375422
15,900,7544003,10621,124517363,213998758,818433,2149592,3763800,9899310,6970933,7999385,644569,26817,27768356,29994378,0,558,53904477,278014010
15,1000,14930283,11195,105144509,163865506,552055,1997854,5211748,7894165,5024509,6953385,520125,33122,25660820,27345462,0,1103,50772026,282483416
15,1100,7318394,10369,124270301,219015273,700993,2264682,3721073,10435783,7408937,9066932,630661,27037,28713141,29108654,0,0,47405019,229936021
15,1200,14018961,11834,122246163,193092696,376394,2007415,5442263,7397878,4875075,6308112,641445,25501,24709509,28795318,0,509,52657581,294950720
15,1300,17558347,10001,108357936,198651122,897346,2531797,8411579,10211948,5947847,7109622,538658,23993,26730004,26862138,0,564,42920385,257363275
15,1400,14509657,8937,125845220,239382209,1243213,2465551,5032668,11230068,7284676,8241355,264921,16648,30839066,31230122,0,0,51895558,321282973
15,1500,6376206,8066,109183061,200806640,827548,1837839,3054117,10041141,7954321,9339873,1071107,22218,35696364,38324350,0,0,60062772,260784895
15,1600,4659892,8832,121731693,188586657,264087,2043946,2631631,9018676,7022072,8449607,1013608,25596,23531449,25082765,0,0,40547694,241211949
15,1700,15666796,12286,126036319,207172810,480936,2106738,7018424,8167513,5363185,6868725,501178,24797,23953179,27639333,0,0,50372414,299724280
15,1800,14358647,8477,105060882,194127762,1027699,2384793,7406152,10371627,6190627,7452516,503689,23942,31702089,30818072,0,507,42123247,271033302
15,1900,10156349,9506,125873395,234389806,891776,2305256,3283429,11264794,7301748,8087605,805491,17200,29789172,30142592,0,0,60168011,265311030
15,2000,6393697,8208,107932972,171387004,215480,1781450,2939138,8040774,6497267,8030969,843728,30591,26077399,29269719,0,0,48348037,289430607
15,2100,15130523,10979,123499343,210325133,606328,2316845,8031851,9263097,6032157,7549845,780388,26421,23910499,25382215,0,0,41895667,262348236
15,2200,15601346,10338,125773488,219184799,1239804,2424675,4312240,9976242,5570516,6355764,462953,21486,30733892,30484844,0,923,52308669,310578745
15,2300,5333814,7309,105462308,204691202,807495,1997708,2957765,10290006,7980948,9438890,1104590,23845,32763796,34955366,0,0,48255082,225576940
15,2400,8091356,10276,126119779,192820368,244443,2011766,5681540,8765460,5863632,6844424,656932,26268,22115842,25254039,0,0,49767537,293118936
15,2500,18182147,10719,105890252,182330953,897534,2274212,5780731,8717455,5377744,6958193,620237,24973,27166840,28164392,0,1112,51538980,295276747
15,2600,10948482,9190,125748387,240179281,1052384,2333160,3955358,11745192,8369300,9792878,594353,17978,31796196,30607800,0,0,46793413,256634525
15,2700,4719900,9260,124131863,189549102,472944,1878233,2997305,7496723,5803216,6886646,899028,25239,26846969,31016666,0,0,55354457,270431073
